"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
13929,137,"SF",2021,24617,56.6,0.245,0.183,0.295,0.427,0.325,0.322,0.237,758,3095,88.4,14.9,2269,88.9,89,1535,6177,7752,0.09999999999999432,6.28,119,158,123,150,298,323,299,"-25.1","25.1",,,3445,2260,461,157,12,128,835,24.2,316,9.2,2.27376,0.64832,0.32992,-0.14771,"91.5",161,39.203539823008846,9.646017699115045,6.328011611030479,5.92,-0.75,0.03,2.26,0.321,218,"0.179948309",0.315,0.423,"-0.179948309",0.008,0.006000000000000005,0.004,0.003,24.9,"41.7"
13928,114,"CLE",2018,24592,56.6,0.251,0.18,0.281,0.431,0.327,0.337,0.262,803,3197,89.1,12.8,2221,88.3,87.89,1270,6169,7759,-0.3999999999999915,6,118,153,113,149,291,317,295,"-32.9","32.9",,,3524,2521,501,158,14,130,676,19.2,283,8,2.38055,0.62881,0.41191,-0.25793,"92.4",166,37.8817929393098,6.941689805632685,4.9659477866061295,5.87,-0.81,-0.06,2.2,0.321,175,"0.236322516",0.332,0.439,"-0.236322516",-0.011,-0.01100000000000001,-0.008,-0.01,20.6,
13927,146,"MIA",2019,23101,60.3,0.235,0.137,0.296,0.372,0.285,0.291,0.235,777,3309,88.3,9.6,2255,88.9,88.51,1759,6543,7384,-0.4000000000000057,6.04,117,156,116,149,304,319,290,"70.8","-70.8",,,3572,2406,521,152,11,93,903,25.3,223,6.2,2.30879,0.65835,0.41851,-0.00112,"91.9",154,34.82959268495428,5.860349127182045,3.9473684210526314,5.91,-0.94,0.07,2.19,0.291,141,"-0.508020392",0.292,0.379,"0.508020392",0,-0.0010000000000000009,-0.007,-0.006,26.9,
13927,114,"CLE",2014,24227,57.5,0.246,0.132,0.294,0.378,0.307,,,798,3239,,,,88,,1257,6216,7711,,,,,,,,,,"7.6","-7.6",,,3531,2523,540,167,13,78,716,20.3,268,7.6,2.30705,0.72329,0.44512,-0.26202,,,0,0,0,6.12,-0.59,-0.14,2.28,0.308,0,"-0.054390752",,,"0.054390752",,,,,20.2,
13924,139,"TB",2016,23480,59.3,0.245,0.19,0.293,0.435,0.316,0.31,0.238,811,3313,89.5,14.3,2210,88.4,87.81,1771,6586,7336,-0.6000000000000085,6.04,114,155,114,148,297,322,295,"2.8","-2.8",,,3581,2436,476,176,23,136,877,24.5,232,6.5,2.28191,0.73608,0.29145,-0.14915,"92.3",173,38.25944170771757,8.045977011494253,5.473331471655962,6.06,-0.7,0.01,2.29,0.301,196,"-0.019951163",0.295,0.422,"0.019951163",0.007,0.006000000000000005,0.013,0.006,26.9,
13922,137,"SF",2022,24342,57.2,0.217,0.15,0.268,0.368,0.296,0.3,0.222,675,3104,87.9,14.6,2249,88.9,89.01,1643,6306,7616,0.09999999999999432,6.3,119,159,119,151,299,321,296,"2.7","-2.7",,,3456,2248,419,146,10,100,856,24.8,305,8.8,2.31255,0.61998,0.33153,-0.12143,"91.5",155,37.72241992882562,7.962633451957295,5.179398148148148,5.84,-0.63,0.02,2.3,0.297,179,"-0.019257291",0.302,0.372,"0.019257291",-0.005,-0.0050000000000000044,-0.004,-0.004,26.1,"37.8"
13915,135,"SD",2015,23200,60,0.228,0.136,0.279,0.364,0.284,0.286,0.228,748,3285,87.8,11.4,2139,88.5,87.94,1518,6382,7533,-0.5999999999999943,6.03,116,152,110,149,295,312,294,"38.3","-38.3",,,3539,2460,494,147,20,87,825,23.3,230,6.5,2.33215,0.66665,0.3923,-0.1505,"92.7",166,33.41463414634146,4.471544715447155,3.1082226617688615,6.03,-0.91,0.02,2.24,0.283,110,"-0.275350341",0.285,0.359,"0.275350341",0,-0.0020000000000000018,0.005,-0.002,23.8,
13908,119,"LAD",2023,24989,55.7,0.247,0.205,0.283,0.452,0.336,0.338,0.252,762,3088,89.4,14.9,2251,89.1,89.34,1589,6335,7573,0.20000000000000284,6.42,120,151,124,150,299,322,297,"-48.3","48.3",,,3452,2321,434,169,12,147,767,22.2,322,9.3,2.33087,0.58797,0.32826,-0.09028,"91.8",166,41.66307626023266,9.47867298578199,6.373117033603708,5.77,-0.73,0.06,2.29,0.326,220,"0.347023296",0.331,0.447,"-0.347023296",-0.005,-0.0050000000000000044,0.005,-0.002,25.1,"38.0"
13899,114,"CLE",2013,24407,56.9,0.246,0.148,0.3,0.394,0.315,,,774,3144,,,,88.3,,1348,5959,7940,,,,,,,,,,"-3.3","3.3",,,3461,2365,507,162,12,93,779,22.5,288,8.3,2.28626,0.72308,0.39246,-0.23712,,,0,0,0,6.04,-0.62,-0.13,2.3,0.315,0,"0.024073674",,,"-0.024073674",,,,,22.6,
13898,145,"CWS",2012,23350,59.5,0.244,0.151,0.282,0.395,0.308,,,800,3281,,,,88.5,,1378,6419,7479,,,,,,,,,,"2.8","-2.8",,,3575,2547,544,129,14,113,734,20.5,256,7.2,2.45331,0.55339,0.43769,-0.0974,,,0,0,0,6,-1,0,2.32,0.306,0,"-0.01978702",,,"0.01978702",,,,,21.5,
13897,111,"BOS",2012,24032,57.8,0.255,0.146,0.302,0.401,0.308,,,839,3284,,,,88.4,,1270,6211,7686,,,,,,,,,,"12.6","-12.6",,,3510,2569,549,191,9,90,715,20.4,201,5.7,2.28887,0.72079,0.3866,-0.17434,,,0,0,0,6.04,-0.9,0.01,2.32,0.303,0,"-0.090501547",,,"0.090501547",,,,,20.4,
13894,147,"NYY",2015,24523,56.7,0.241,0.16,0.277,0.401,0.312,0.311,0.243,780,3235,88.1,12.3,2101,88.3,87.59,1295,6062,7832,-0.7000000000000028,5.97,116,156,114,148,288,313,293,"-8.1","8.1",,,3558,2518,505,149,11,115,717,20.2,282,7.9,2.20681,0.81127,0.47666,-0.26994,"92.9",171,34.47180301826847,4.924543288324067,3.4851039910061834,6.14,-0.54,-0.18,2.26,0.31,124,"0.05823377",0.312,0.387,"-0.05823377",-0.002,-0.0020000000000000018,0.014,0.001,21.4,
13891,117,"HOU",2015,23543,59,0.246,0.194,0.289,0.44,0.324,0.313,0.24,808,3288,88.8,13.1,2136,88.1,87.29,1686,6553,7338,-0.7999999999999972,5.88,115,154,112,148,290,316,294,"-34.4","34.4",,,3578,2445,475,171,18,144,843,23.6,260,7.3,2.31253,0.72276,0.3661,-0.23909,"93.5",177,36.687116564417174,6.993865030674846,4.7792062604807155,5.95,-0.4,0.01,2.23,0.307,171,"0.247613563",0.302,0.41,"-0.247613563",0.006,0.0050000000000000044,0.03,0.011,25.7,
13889,158,"MIL",2021,24078,57.7,0.223,0.16,0.274,0.383,0.297,0.303,0.229,692,3108,88.7,12,2251,88.7,88.75,1698,6308,7581,0,6.25,118,159,121,151,298,321,297,"16.7","-16.7",,,3439,2221,434,134,8,116,887,25.8,292,8.5,2.30825,0.63347,0.34787,-0.09542,"91.6",153,39.48671769473211,7.924358397118415,5.117766792672288,5.84,-1.03,0.03,2.29,0.297,176,"-0.119936641",0.303,0.385,"0.119936641",-0.006,-0.006000000000000005,-0.002,-0.006,26.9,"41.1"
13887,115,"COL",2016,24413,56.9,0.268,0.177,0.32,0.445,0.327,0.305,0.249,882,3292,88,10.7,2218,88.9,88.69,1547,6586,7301,-0.20000000000000284,6.01,117,153,111,149,300,323,300,"-6.7","6.7",,,3524,2509,558,181,28,115,783,22.2,214,6.1,2.28606,0.67257,0.33939,-0.10849,"92.1",170,35.59186927062575,5.898764447987246,4.19977298524404,6.03,-0.68,-0.02,2.31,0.316,148,"0.048368978",0.3,0.404,"-0.048368978",0.019,0.016000000000000014,0.041,0.022,23.5,
13887,143,"PHI",2014,23883,58.1,0.238,0.115,0.291,0.354,0.289,,,779,3267,,,,88.6,,1415,6238,7649,,,,,,,,,,"29","-29",,,3515,2514,552,144,17,66,753,21.4,218,6.2,2.26412,0.74588,0.52423,-0.25273,,,0,0,0,6.04,-0.78,-0.13,2.24,0.292,0,"-0.208936415",,,"0.208936415",,,,,22.7,
