"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
25145,147,"NYY",2018,25145,100,0.249,0.202,0.285,0.451,0.335,0.332,0.245,1374,5515,89.2,13.3,2237,88.7,88.15,2961,11370,13775,-0.5,5.99,109,153,115,149,295,320,292,"-114.5","114.5",,,6250,4163,815,269,23,267,1421,22.7,604,9.7,2.32687,0.66243,0.42637,-0.15324,"92.4",166,38.26567379293779,8.719673312515013,5.808,5.87,-0.76,-0.01,2.25,0.327,363,"0.455386757",0.325,0.434,"-0.455386757",0.004,0.0020000000000000018,0.017,0.003,26,
25139,141,"TOR",2016,25139,100,0.248,0.178,0.289,0.426,0.327,0.326,0.244,1358,5479,89,12.3,2223,88.6,87.96,2625,11045,14039,-0.5999999999999943,6.04,107,150,113,146,298,321,293,"-36","36",,,6232,4183,843,276,18,221,1362,21.9,632,10.1,2.2927,0.72081,0.36487,-0.05522,"92.4",163,37.84365288070762,7.363136504900789,4.942233632862644,6.11,-0.91,0.03,2.28,0.33,308,"0.14308445",0.328,0.42,"-0.14308445",0.004,0.0020000000000000018,0.006,0.001,23.8,
25138,119,"LAD",2022,25138,100,0.257,0.185,0.302,0.442,0.337,0.33,0.246,1418,5526,89.3,15.7,2238,89,89.13,2948,11686,13447,0.09999999999999432,6.31,111,155,122,147,301,323,299,"-158.6","158.6",,,6225,4208,850,325,31,212,1374,22.1,585,9.4,2.33262,0.59173,0.35597,-0.04811,"91.7",166,41.896387832699624,9.220532319391635,6.232931726907631,5.71,-0.75,0.07,2.29,0.331,388,"0.631100326",0.324,0.423,"-0.631100326",0.011,0.007000000000000006,0.019,0.007,25.2,"36.3"
25074,140,"TEX",2019,25074,100,0.248,0.183,0.304,0.431,0.317,0.319,0.243,1374,5540,89.2,12.4,2256,88.4,87.98,3145,11599,13473,-0.4000000000000057,5.97,110,152,116,148,299,322,295,"-5.4","5.4",,,6186,4023,831,296,24,223,1578,25.5,516,8.3,2.32062,0.68514,0.3763,-0.14474,"92.1",171,38.65274670643798,7.4322644792443455,4.833494988684126,5.92,-0.59,0.02,2.27,0.317,299,"0.021667863",0.315,0.425,"-0.021667863",0.005,0.0020000000000000018,0.006,-0.002,27.1,
25027,142,"MIN",2013,25027,100,0.242,0.138,0.298,0.38,0.307,,,1346,5564,,,,88.4,,2634,10991,13960,,,,,,,,,,"59.3","-59.3",,,6210,4195,895,285,15,151,1430,23,533,8.6,2.29213,0.71394,0.37736,-0.17447,,,0,0,0,5.92,-0.89,-0.11,2.32,0.312,0,"-0.237008031",,,"0.237008031",,,,,24,
25025,147,"NYY",2010,25025,100,0.267,0.169,0.3,0.436,0.346,,,1485,5567,,,,87.9,,2022,10717,14162,,,,,,,,,,"-131.4","131.4",,,6379,4508,977,275,32,201,1136,17.8,662,10.4,2.32513,0.73307,0.54373,-0.25047,,,0,0,0,6.19,-0.73,-0.25,2.38,0.35,0,"0.525082917",,,"-0.525082917",,,,,18.9,
25017,111,"BOS",2017,25017,100,0.258,0.149,0.3,0.407,0.316,0.313,0.25,1461,5669,87.2,10.9,2234,88.8,88.25,2418,11028,13979,-0.5,5.99,110,150,113,147,287,318,296,"-2","2",,,6290,4490,972,302,19,168,1224,19.5,523,8.3,2.22957,0.75215,0.47258,-0.07509,"91.6",162,32.40534521158129,4.855233853006681,3.465818759936407,5.9,-0.97,0.06,2.23,0.324,218,"0.007802694",0.319,0.396,"-0.007802694",0.008,0.0050000000000000044,0.011,0.003,21.9,
24989,119,"LAD",2023,24989,100,0.257,0.197,0.294,0.455,0.341,0.342,0.257,1422,5523,89,15.3,2256,89,89.31,2920,11628,13358,0.29999999999999716,6.43,112,149,122,148,298,321,297,"-151.4","151.4",,,6299,4239,850,303,20,249,1358,21.6,611,9.7,2.34578,0.57739,0.30559,-0.08603,"91.8",165,40.74074074074074,9.153102146732719,6.159707890141292,5.75,-0.71,0.05,2.29,0.337,388,"0.605674497",0.339,0.447,"-0.605674497",0,-0.0020000000000000018,0.008,-0.001,25.1,"37.8"
24980,119,"LAD",2019,24980,100,0.257,0.215,0.291,0.472,0.338,0.335,0.253,1414,5493,89,14.4,2238,88.8,88.6,2834,11326,13654,-0.20000000000000284,6.01,112,152,117,149,301,322,300,"-108.3","108.3",,,6235,4238,813,302,20,279,1356,21.7,560,9,2.29509,0.66732,0.39885,-0.11943,"92.2",173,37.989617744218975,8.04624823029731,5.469125902165197,5.95,-0.57,-0.03,2.24,0.333,341,"0.433642914",0.331,0.45,"-0.433642914",0.004,0.0020000000000000018,0.022,0.003,25,
24972,133,"OAK",2019,24972,100,0.249,0.199,0.282,0.448,0.327,0.337,0.254,1384,5561,89.3,14.2,2265,88.3,87.92,2816,11313,13659,-0.3999999999999915,5.96,109,153,118,146,299,323,295,"-55.7","55.7",,,6252,4266,812,292,23,257,1338,21.4,561,9,2.36229,0.64325,0.41299,-0.07858,"92.2",168,38.49038912330052,8.415377402719175,5.742162507997441,5.94,-0.82,0.12,2.25,0.325,359,"0.223242031",0.332,0.455,"-0.223242031",-0.005,-0.007000000000000006,-0.007,-0.01,24.9,
