Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2010,"LAA",6089,0.07653145,0.17572672,0.435514018,0.248360058,0.311269237,0.390306122,0.701575359,0.141946064,0.280930232,644.5787196838957,-54.65228512047724,0.3100125484137563,93.69199071244057
2010,"BAL",6109,0.069405794,0.172859715,0.401515151,0.259272596,0.315616258,0.386208138,0.701824396,0.126935542,0.296371882,647.8387289526797,-53.688978117432406,0.3099895629930141,87.45046514047861
2010,"BOS",6356,0.092353681,0.179358086,0.51491228,0.267623095,0.339076825,0.450938717,0.790015542,0.183315622,0.299470168,851.195513493535,121.30353344154055,0.34484706866253567,109.00306225864229
2010,"CHW",6118,0.076332134,0.150702844,0.506507592,0.26750547,0.331740276,0.419948942,0.751689218,0.152443472,0.291657246,753.1760246353797,50.614801545684635,0.33155284601366153,100.12186451815536
2010,"CLE",6165,0.08840227,0.192051905,0.460304054,0.248223072,0.321585903,0.378348824,0.699934727,0.130125752,0.29325095,660.9365053431939,-47.021968070988706,0.3114025777534347,94.24471683464499
2010,"DET",6312,0.086501901,0.181717363,0.476024411,0.268474215,0.335193749,0.415204678,0.750398427,0.146730463,0.310832383,769.8286114800251,44.989376412657585,0.3297111961623515,101.97874060142675
2010,"KCR",6209,0.075857626,0.14575616,0.520441988,0.273733047,0.331007626,0.399357601,0.730365227,0.125624554,0.305117685,720.9769228306225,7.965704431812974,0.32267947494498134,98.17381544933914
2010,"MIN",6257,0.089339939,0.154546907,0.578076525,0.273168103,0.34073002,0.421515804,0.762245824,0.148347701,0.305629432,786.4934134293622,67.97010959277809,0.3346388028264239,106.20737956390639
2010,"NYY",6379,0.103778021,0.178084339,0.582746478,0.266750493,0.349826662,0.435961918,0.78578858,0.169211425,0.300421151,859.8973575508339,127.36416989323922,0.34614328616394674,111.93497172762838
2010,"OAK",6117,0.086153343,0.173451038,0.496701225,0.256240822,0.324386629,0.377936857,0.702323486,0.121696035,0.297297297,662.6609492770558,-39.7854386993522,0.31294273665897204,94.71732982666221
2010,"SEA",5989,0.076640507,0.197695775,0.387668918,0.23553337,0.29796536,0.339434276,0.637399636,0.103900906,0.281700288,513.127938140876,-174.61955533479957,0.2845876373408572,79.06675881595838
2010,"TBR",6270,0.107177033,0.206060606,0.520123839,0.246920389,0.332851405,0.40301526,0.735866665,0.156094871,0.292532146,744.8261910447201,24.810030735405107,0.3259692970449834,105.57575539474762
2010,"TEX",6302,0.081085369,0.156458267,0.518255578,0.276131322,0.338190552,0.418811002,0.757001554,0.14267968,0.306980841,782.2460939795843,58.555210045086625,0.3329743524033999,98.49013454498336
2010,"TOR",6072,0.077569169,0.191699604,0.404639175,0.248225659,0.312138728,0.454231119,0.766369847,0.20600546,0.269474196,757.8799134500767,60.60110557158251,0.3335041581497066,105.28303445284145
2010,"ARI",6183,0.0952612,0.247290959,0.385219097,0.24958889,0.324649951,0.415676959,0.74032691,0.166088069,0.311695137,727.0284898702752,17.00298441692706,0.32503084593255616,92.70402607642946
2010,"ATL",6252,0.101407549,0.18234165,0.55614035,0.258282994,0.338994015,0.400878638,0.739872653,0.142595644,0.301493244,745.6733439358238,27.724215665674553,0.3274561433832544,99.91330458084288
