Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2009,"LAA",6305,0.086756542,0.167168913,0.518975332,0.285307719,0.350047908,0.4414799,0.791527808,0.156172181,0.32178997,843.5507594348772,87.97804556059671,0.3457621799521806,108.49511742828234
2009,"BAL",6233,0.082945612,0.16252206,0.510365251,0.268422926,0.331832797,0.415272338,0.747105135,0.146849412,0.300155867,742.4765929615336,-4.467852015213467,0.32787909667466897,93.0613199667857
2009,"BOS",6344,0.103877679,0.176544766,0.588392857,0.269709543,0.351731772,0.453905827,0.805637599,0.184196284,0.301032379,876.9975720193473,116.75121249223636,0.35104221364519994,106.20411816928886
2009,"CHW",6132,0.087084148,0.166666666,0.522504892,0.258099945,0.328960314,0.411495515,0.740455829,0.15339557,0.28538175,719.0937480148143,-15.747153091781673,0.32572477252130433,90.78829461223884
2009,"CLE",6320,0.092088607,0.191613924,0.480594549,0.263649425,0.339277185,0.416846264,0.756123449,0.153196839,0.307819123,780.0055187705238,22.635248875923867,0.3331375357690015,100.08714294419548
2009,"DET",6234,0.086621751,0.178697465,0.484739676,0.260469314,0.330744336,0.416425992,0.747170328,0.155956678,0.294255021,742.0787450612571,-4.985536983511473,0.32788335420251863,93.77681775076239
2009,"KCR",6103,0.074881205,0.178764542,0.418881759,0.258857556,0.318489196,0.40527838,0.723767576,0.146420824,0.297528297,674.9470704853611,-56.41855564861731,0.317605302100266,88.03777380660097
2009,"MIN",6346,0.092184052,0.160888748,0.572967678,0.274429386,0.344559173,0.429029957,0.77358913,0.154600571,0.305679785,808.0360720082394,47.55003834508585,0.33790533503335385,103.55541622186746
2009,"NYY",6449,0.102806636,0.157233679,0.653846153,0.283392226,0.36175187,0.477561837,0.839313707,0.194169611,0.306237333,963.8180246257633,190.98877295641603,0.36468619706955396,117.09694575401805
2009,"OAK",6247,0.084360493,0.167440371,0.503824091,0.26217765,0.328399034,0.397206303,0.725605337,0.135028653,0.298182634,705.0494519475291,-43.57271198151602,0.32046373186812976,93.53973636541656
2009,"SEA",6113,0.068869622,0.17879928,0.385178408,0.257983041,0.313686643,0.401948403,0.715635046,0.143965362,0.293031841,651.114560791386,-81.44943602280547,0.31259496365919903,89.22951448802985
2009,"TBR",6223,0.103165675,0.19749317,0.522375915,0.262541193,0.342852533,0.439399487,0.78225202,0.176858294,0.302770286,812.1925760909099,66.44650179437582,0.3416259414729496,108.89361685915472
2009,"TEX",6127,0.077036069,0.204504651,0.376695929,0.259862468,0.319585934,0.444806369,0.764392303,0.184943901,0.295609756,745.7545775744776,11.512861807988378,0.33129685383788354,92.44183536671304
2009,"TOR",6362,0.086136435,0.161584407,0.533073929,0.266151685,0.332754812,0.440308988,0.7730638,0.174157303,0.289929015,806.2809929865177,43.877566235023316,0.33711948778925677,101.24668607478229
2009,"ARI",6269,0.091083107,0.207050566,0.43990755,0.253009883,0.324428709,0.417610062,0.742038771,0.164600179,0.298669891,722.4313782815832,-28.827201143930626,0.3235764221934768,88.6031215040038
2009,"ATL",6335,0.095027624,0.167955801,0.565789473,0.263404946,0.338621794,0.405488355,0.744110149,0.142083409,0.299565515,744.498313565735,-14.669512349184544,0.32691376499477576,96.99895400134149
2009,"CHC",6244,0.094811018,0.18978219,0.499578059,0.254830477,0.331607056,0.406853809,0.738460865,0.152023332,0.295791487,721.977970779956,-26.284681945025277,0.3243810639599036,90.13112265461352
2009,"CIN",6187,0.085825117,0.182479392,0.470327723,0.246979128,0.317562017,0.394177956,0.711739973,0.147198828,0.282495256,652.1031457727101,-89.32879407505708,0.3128519006997101,83.78383620799184
