"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
849,147,"NYY",2010,25025,3.4,0.301,0.127,0.341,0.428,0.357,,,50,166,,,,88.3,,70,366,475,,,,,,,,,,"-3.7","3.7",,,205,143,37,8,2,3,33,16.1,24,11.7,2.34951,0.67407,0.52482,-0.20062,,,0,0,0,6.08,-0.94,-0.24,2.44,0.389,0,"0.430035336",,,"-0.430035336",,,,,19.1,
841,113,"CIN",2010,23431,3.6,0.285,0.244,0.278,0.529,0.372,,,49,172,,,,87.5,,92,386,450,,,,,,,,,,"-8.2","8.2",,,225,154,31,6,0,12,42,18.7,23,10.2,2.55178,0.52058,0.34587,-0.14036,,,0,0,0,6.22,-0.58,0.09,2.31,0.361,0,"0.980142687",,,"-0.980142687",,,,,23.8,
838,115,"COL",2011,24039,3.5,0.319,0.196,0.326,0.515,0.367,,,52,163,,,,88.1,,86,402,432,,,,,,,,,,"-11.6","11.6",,,203,149,36,7,2,7,33,16.3,19,9.4,2.4543,0.56246,0.2859,-0.2027,,,0,0,0,6.06,-0.57,-0.09,2.44,0.367,0,"1.390095465",,,"-1.390095465",,,,,21.4,
833,139,"TB",2010,24674,3.4,0.299,0.181,0.32,0.48,0.346,,,53,177,,,,87.2,,77,386,442,,,,,,,,,,"-8.1","8.1",,,221,164,32,14,3,4,36,16.3,19,8.6,2.41498,0.69715,0.35228,-0.21682,,,0,0,0,6.08,-1.01,-0.23,2.42,0.346,0,"0.973109244",,,"-0.973109244",,,,,19.9,
826,108,"LAA",2012,22992,3.6,0.308,0.162,0.335,0.47,0.334,,,61,198,,,,89.1,,98,423,401,,,,,,,,,,"-4.6","4.6",,,221,170,42,12,1,6,40,18.1,10,4.5,2.20755,0.74763,0.51201,-0.14682,,,0,0,0,6,-1.23,-0.03,2.37,0.326,0,"0.551815981",,,"-0.551815981",,,,,23.2,
825,111,"BOS",2018,24653,3.3,0.278,0.29,0.261,0.568,0.361,0.352,0.252,49,176,88.5,13.1,2226,89.2,88.71,95,382,442,-0.5,6.03,88,146,108,144,283,318,299,"-5.9","5.9",,,211,154,24,11,2,12,37,17.5,19,9,2.2717,0.67888,0.45534,-0.11155,"92.1",156,37.01298701298701,11.688311688311687,8.530805687203792,5.81,-0.76,0.06,2.32,0.327,18,"0.717333333",0.324,0.477,"-0.717333333",0.026,0.0030000000000000027,0.091,0.009,24.9,
824,111,"BOS",2013,25667,3.2,0.293,0.201,0.328,0.494,0.34,,,51,174,,,,88.4,,97,401,422,,,,,,,,,,"-4.1","4.1",,,196,143,30,13,2,6,42,21.4,10,5.1,2.29184,0.71971,0.27993,-0.10854,,,0,0,0,6.07,-1.02,-0.07,2.31,0.316,0,"0.492354369",,,"-0.492354369",,,,,24.2,
819,120,"WSH",2014,23652,3.5,0.232,0.166,0.238,0.398,0.295,,,42,181,,,,89.2,,93,399,420,,,,,,,,,,"3.2","-3.2",,,216,159,26,9,0,7,39,18.1,13,6,2.34563,0.61356,0.43204,0.13484,,,0,0,0,5.98,-1.14,-0.09,2.16,0.284,0,"-0.385470085",,,"0.385470085",,,,,23.3,
819,116,"DET",2010,23983,3.4,0.313,0.251,0.331,0.564,0.386,,,56,179,,,,88.5,,104,409,408,,,,,,,,,,"-14.3","14.3",,,214,153,31,14,2,9,40,18.7,20,9.3,2.2321,0.762,0.4728,-0.15119,,,0,0,0,6.1,-0.87,-0.12,2.36,0.363,0,"1.744444444",,,"-1.744444444",,,,,25.4,
813,133,"OAK",2015,23807,3.4,0.259,0.201,0.28,0.46,0.316,0.293,0.246,49,189,87.3,12.6,2160,87.5,86.47,82,405,408,-1,5.82,90,141,105,142,286,309,289,"-7.9","7.9",,,214,157,29,9,4,7,42,19.6,13,6.1,2.4992,0.57257,0.26177,-0.21902,"92.4",180,28.02547770700637,3.821656050955414,2.803738317757009,5.97,-0.62,-0.02,2.19,0.296,6,"0.96900369",0.292,0.371,"-0.96900369",0.013,0.0040000000000000036,0.089,0.023,20.2,
812,136,"SEA",2011,23020,3.5,0.224,0.154,0.256,0.378,0.266,,,35,156,,,,87.2,,102,384,427,,,,,,,,,,"17.7","-17.7",,,191,128,20,9,3,3,48,25.1,13,6.8,2.81446,0.29318,0.30545,-0.13261,,,0,0,0,5.84,-0.9,-0.14,2.31,0.262,0,"-2.174753695",,,"2.174753695",,,,,26.6,
811,139,"TB",2017,23897,3.4,0.29,0.2,0.336,0.49,0.347,0.315,0.219,45,155,85.7,14.6,2276,88.5,87.93,131,403,408,-0.5999999999999943,6.05,89,147,108,145,293,320,293,"0.9","-0.9",,,193,121,29,8,1,7,49,25.4,20,10.4,2.31054,0.6945,0.4784,-0.08594,"91.6",175,32.231404958677686,7.43801652892562,4.66321243523316,5.9,-0.66,0.11,2.37,0.354,9,"-0.104808878",0.315,0.388,"0.104808878",0.071,0.03899999999999998,0.102,0.032,32.5,
811,137,"SF",2010,22981,3.5,0.27,0.098,0.294,0.368,0.296,,,44,163,,,,87.5,,81,395,408,,,,,,,,,,"8.3","-8.3",,,203,147,32,10,0,2,35,17.2,21,10.3,2.44208,0.64909,0.3741,-0.10573,,,0,0,0,6.25,-0.84,0,2.27,0.323,0,"-1.02108508",,,"1.02108508",,,,,20.5,
807,141,"TOR",2014,23834,3.4,0.277,0.113,0.29,0.39,0.305,,,49,177,,,,89,,70,388,410,,,,,,,,,,"-0.7","0.7",,,208,159,37,8,0,4,31,14.9,17,8.2,2.25491,0.71626,0.52884,-0.24986,,,0,0,0,6,-0.72,-0.11,2.26,0.322,0,"0.08228005",,,"-0.08228005",,,,,18,
